factives,hedges,implicatives,report_verbs,bias,negative_words,positive_words,negative_colloquial_words,positive_colloquial_words
,,,,,بشكل غير فعال,,,
,,,,,عدم الأناقة,,,
,,,,,غير أنيق,,,
,,,,,غير مؤهل,,,
,,,,,غير بليغ,,,
,,,,,بشكل غير بليغ,,,
,,,,,أحمق,,,
,,,,,عدم الكفاءة,,,
,,,,,بشكل غير كفؤ,,,
,,,,,عدم المساواة,,,
,,,,,عدم المساواة,,,
,,,,,غير منصف,,,
,,,,,بشكل غير عادل,,,
,,,,,عدم المساواة,,,
,,,,,محتوم,,,
,,,,,لا مفر منه,,,
,,,,,غير جوهري,,,
,,,,,حتمي,,,
,,,,,لا محالة,,,
,,,,,لا يغتفر,,,
,,,,,بلا مبرر,,,
,,,,,لا يرحم,,,
,,,,,بلا هوادة,,,
,,,,,قلة الخبرة,,,
,,,,,عديمي الخبرة,,,
,,,,,غير حاذق,,,
,,,,,بغير خبرة,,,
,,,,,لا يغتفر,,,
,,,,,لا يمكن تفسيره,,,
,,,,,لا ينفصل,,,
,,,,,بشكل لا ينفصم,,,
,,,,,سيء السمعة,,,
,,,,,سيئة السمعة,,,
,,,,,العار,,,
,,,,,مُصاب,,,
,,,,,عدوى,,,
,,,,,الالتهابات,,,
,,,,,السفلي,,,
,,,,,الدونية,,,
,,,,,الجهنمي,,,
,,,,,عدوى,,,
,,,,,موبوءة,,,
,,,,,كافر,,,
,,,,,الصابئون,,,
,,,,,المتسلل,,,
,,,,,المتسللين,,,
,,,,,عاجز,,,
,,,,,ألهب,,,
,,,,,اشتعال,,,
,,,,,التهابات,,,
,,,,,ملتهب,,,
,,,,,تضخم,,,
,,,,,التضخمية,,,
,,,,,غير مرن,,,
,,,,,يلحق,,,
,,,,,مخالفة,,,
,,,,,انتهاك,,,
,,,,,التعدي,,,
,,,,,الانتهاكات,,,
,,,,,يغضب,,,
,,,,,غاضب,,,
,,,,,مثير للغضب,,,
,,,,,بشكل مثير للغضب,,,
,,,,,غير مجيد,,,
,,,,,العاق,,,
,,,,,عقوق,,,
,,,,,تعيق,,,
,,,,,كبت,,,
,,,,,غير مضياف,,,
,,,,,في الضيافة,,,
,,,,,غير إنساني,,,
,,,,,غير إنساني,,,
,,,,,اللاإنسانية,,,
,,,,,معادية,,,
,,,,,بشكل معادٍ,,,
,,,,,جائرة,,,
,,,,,إثم,,,
,,,,,غير حكيم,,,
,,,,,تجرح,,,
,,,,,ضار,,,
,,,,,إصابة,,,
,,,,,ظلم,,,
,,,,,الظلم,,,
,,,,,التلميح,,,
,,,,,غير صالحة للعمل,,,
,,,,,غير مناسب,,,
,,,,,مبالغ فيه,,,
,,,,,بشكل مفرط,,,
,,,,,مجنون,,,
,,,,,بجنون,,,
,,,,,جنون,,,
,,,,,لا يشبع,,,
,,,,,غير آمن,,,
,,,,,انعدام الأمن,,,
,,,,,غير معقول,,,
,,,,,غير حساس,,,
,,,,,بشكل غير حساس,,,
,,,,,عدم الحساسية,,,
,,,,,أخبث,,,
,,,,,غدرا,,,
,,,,,عدم الأهمية,,,
,,,,,تافهة,,,
,,,,,بشكل ضئيل,,,
,,,,,غير صادق,,,
,,,,,بتصنع,,,
,,,,,نفاق,,,
,,,,,يلمح,,,
,,,,,دسي,,,
,,,,,التلميح,,,
,,,,,غير اجتماعي,,,
,,,,,الوقاحة,,,
,,,,,وقح,,,
,,,,,بوقاحة,,,
,,,,,المفلس,,,
,,,,,اللامبالاة,,,
,,,,,عدم الاستقرار,,,
,,,,,غير مستقر,,,
,,,,,تحريض,,,
,,,,,المحرض,,,
,,,,,المحرضون,,,
,,,,,متمرد,,,
,,,,,غير جوهري,,,
,,,,,بشكل لا جوهري,,,
,,,,,لا يطاق,,,
,,,,,بشكل لا يطاق,,,
,,,,,القصور,,,
,,,,,غير كافٍ,,,
,,,,,بشكل غير كاف,,,
,,,,,جزيري,,,
,,,,,يسُبّ,,,
,,,,,أهان,,,
,,,,,إهانة,,,
,,,,,بشكل مهين,,,
,,,,,الإهانات,,,
,,,,,لا يطاق,,,
,,,,,بشكل لا يطاق,,,
,,,,,لا يمكن التغلب عليها,,,
,,,,,لا يمكن التغلب عليه,,,
,,,,,تمرد,,,
,,,,,يتدخل,,,
,,,,,يتدخل,,,
,,,,,شديد,,,
,,,,,يتدخل,,,
,,,,,التشوش,,,
,,,,,يتدخل,,,
,,,,,متقطع,,,
,,,,,يقاطع,,,
,,,,,مقاطعة,,,
,,,,,انقطاعات,,,
,,,,,تخويف,,,
,,,,,مخيف,,,
,,,,,بشكل تخويف,,,
,,,,,التخويف,,,
,,,,,لا يطاق,,,
,,,,,بشكل لا يطاق,,,
,,,,,تعصب,,,
,,,,,سمم,,,
,,,,,مستعصية على الحل,,,
,,,,,تصلب,,,
,,,,,عنيد,,,
,,,,,تطفل,,,
,,,,,التدخل,,,
,,,,,تطفلي,,,
,,,,,غمر,,,
,,,,,غمرت,,,
,,,,,الغازي,,,
,,,,,غير صالح,,,
,,,,,يبطل,,,
,,,,,البطلان,,,
,,,,,المجتاحة,,,
,,,,,ذم,,,
,,,,,أغرى,,,
,,,,,حسد,,,
,,,,,بشكل بغيض,,,
,,,,,الحسد,,,
,,,,,غير مرئى,,,
,,,,,لا إرادية,,,
,,,,,لا إرادي,,,
,,,,,غضوب,,,
,,,,,غاضب,,,
,,,,,بغضب,,,
,,,,,غضب,,,
,,,,,مزعج,,,
,,,,,منزعج,,,
,,,,,مزعج,,,
,,,,,يزعج,,,
,,,,,مزعج,,,
,,,,,بشكل مزعج,,,
,,,,,المضايقة,,,
,,,,,المزعجة,,,
,,,,,ساخر,,,
,,,,,مثير للسخرية,,,
,,,,,بسخرية,,,
,,,,,المفارقات,,,
,,,,,سخرية,,,
,,,,,عدم انتظام,,,
,,,,,غير منطقي,,,
,,,,,اللاعقلانية,,,
,,,,,اللاعقلانية,,,
,,,,,بشكل غير عقلاني,,,
,,,,,غير عقلاني,,,
,,,,,غير قابل للتوفيق,,,
,,,,,غير قابل للاسترداد,,,
,,,,,عدم القدرة على الاسترداد,,,
,,,,,عدم القدرة على الاسترداد,,,
,,,,,بشكل لا رجعة فيه,,,
,,,,,غير قابل للاسترداد,,,
,,,,,بشكل لا رجعة فيه,,,
,,,,,غير قابل للإصلاح,,,
,,,,,غير عادي,,,
,,,,,عدم انتظام,,,
,,,,,عدم الأهمية,,,
,,,,,عَرَضِيّ,,,
,,,,,لا يمكن إصلاحه,,,
,,,,,لا يمكن الاستغناء عنه,,,
,,,,,متعذر كبته,,,
,,,,,متردد,,,
,,,,,غير قابل للحل,,,
,,,,,غير مسؤول,,,
,,,,,بشكل غير مسؤول,,,
,,,,,تكرار,,,
,,,,,لا يمكن استرجاعه,,,
,,,,,لا رجعة فيه,,,
,,,,,سريع الانفعال,,,
,,,,,بغضب,,,
,,,,,مهيج,,,
,,,,,يزعج,,,
,,,,,منزعج,,,
,,,,,مزعج,,,
,,,,,تهيج,,,
,,,,,تهيج,,,
,,,,,عزل,,,
,,,,,معزول,,,
,,,,,عزل,,,
,,,,,مشكلة,,,
,,,,,مشاكل,,,
,,,,,حكة,,,
,,,,,مثير للحكة,,,
,,,,,مسبب للحكة,,,
,,,,,ثرثرة,,,
,,,,,منهك,,,
,,,,,مسنن,,,
,,,,,مربى,,,
,,,,,التنافر,,,
,,,,,مصاب باليرقان,,,
,,,,,غيور,,,
,,,,,بغيرة,,,
,,,,,الغيرة,,,
,,,,,الغيرة,,,
,,,,,تهكم,,,
,,,,,سخرية,,,
,,,,,بسخرية,,,
,,,,,السخرية,,,
,,,,,يعرض للخطر,,,
,,,,,خطر,,,
,,,,,هَزَّة,,,
,,,,,متشنج,,,
,,,,,تقطع,,,
,,,,,التوتر,,,
,,,,,غاضب,,,
,,,,,قتل الوظيفة,,,
,,,,,عاطل عن العمل,,,
,,,,,نكتة,,,
,,,,,مهرج,,,
,,,,,هزة,,,
,,,,,اهتزاز,,,
,,,,,الحكم,,,
,,,,,حكم,,,
,,,,,ثاب,,,
,,,,,نفاية,,,
,,,,,مدمن,,,
,,,,,ساحة الخردة,,,
,,,,,توتر,,,
,,,,,توترات,,,
,,,,,مفلس,,,
,,,,,قتل,,,
,,,,,قتل,,,
,,,,,القاتل,,,
,,,,,قتل,,,
,,,,,يقتل,,,
,,,,,محتال,,,
,,,,,سكين,,,
,,,,,طرق,,,
,,,,,معقود,,,
,,,,,كوك,,,
,,,,,غريب الأطوار,,,
,,,,,نقص,,,
,,,,,افتقار,,,
,,,,,تفتقر,,,
,,,,,خادم,,,
,,,,,أتباع,,,
,,,,,تفتقر إلى,,,
,,,,,باهتة,,,
,,,,,يفتقر,,,
,,,,,مقتضب,,,
,,,,,بطئ,,,
,,,,,متخلفة,,,
,,,,,متخلفة,,,
,,,,,متخلف,,,
,,,,,يتخلف,,,
,,,,,تسريح _,,,
,,,,,لامباست,,,
,,,,,لامباست,,,
,,,,,عاجِز,,,
,,,,,البطة العرجاء,,,
,,,,,رثاء,,,
,,,,,مؤسف,,,
,,,,,للأسف,,,
,,,,,ضعيف,,,
,,,,,يضعف,,,
,,,,,كسل,,,
,,,,,ضعيف,,,
,,,,,بتراخ,,,
,,,,,نحيف,,,
,,,,,انقضاء,,,
,,,,,انقضى,,,
,,,,,هفوات,,,
,,,,,فاسق,,,
,,,,,الخندق الأخير,,,
,,,,,وقت الإستجابة,,,
,,,,,مثير للضحك,,,
,,,,,مثير للضحك,,,
,,,,,أضحوكة,,,
,,,,,مخالف للقانون,,,
,,,,,خرق القانون,,,
,,,,,خارج عن القانون,,,
,,,,,الفوضى,,,
,,,,,تسريح,,,
,,,,,تسريح العمال سعيدة,,,
,,,,,كسول,,,
,,,,,تسريب,,,
,,,,,تسرب,,,
,,,,,التسربات,,,
,,,,,تسرب,,,
,,,,,التسريبات,,,
,,,,,راشح,,,
,,,,,ليش,,,
,,,,,الفاسق,,,
,,,,,فاسق,,,
,,,,,الفسق,,,
,,,,,علقة,,,
,,,,,لير,,,
,,,,,حذر,,,
,,,,,يميل إلى اليسار,,,
,,,,,ليمون,,,
,,,,,طويل,,,
,,,,,أقل تطورا,,,
,,,,,أقل شهرة,,,
,,,,,السماح,,,
,,,,,قاتلة,,,
,,,,,خامل,,,
,,,,,الخمول,,,
,,,,,بذيئة,,,
,,,,,بذيئة,,,
,,,,,الفسق,,,
,,,,,مسئولية قانونية,,,
,,,,,مسئولة,,,
,,,,,كذاب,,,
,,,,,كذابون,,,
,,,,,فاجر,,,
,,,,,بفجور,,,
,,,,,الإ جازة الرسمية,,,
,,,,,كذب,,,
,,,,,كذب,,,
,,,,,كاذب,,,
,,,,,يكذب,,,
,,,,,تهدد الحياة,,,
,,,,,هامدة,,,
,,,,,حد,,,
,,,,,القيد,,,
,,,,,محددات,,,
,,,,,محدود,,,
,,,,,حدود,,,
,,,,,يعرج,,,
,,,,,فاتر,,,
,,,,,مقاضاة,,,
,,,,,غير معروف,,,
,,,,,غاضب,,,
,,,,,بغضب,,,
,,,,,متردد,,,
,,,,,أكره,,,
,,,,,اشمئزاز,,,
,,,,,بغيض,,,
,,,,,بغيض,,,
,,,,,بشكل مقزز,,,
,,,,,وحيد,,,
,,,,,الشعور بالوحدة,,,
,,,,,وحيد,,,
,,,,,وحيد,,,
,,,,,وحيد,,,
,,,,,منذ وقت طويل,,,
,,,,,طويل الرياح,,,
,,,,,الشوق,,,
,,,,,بشوق,,,
,,,,,ثغرة,,,
,,,,,ثغرات,,,
,,,,,مرتخي,,,
,,,,,نهب,,,
,,,,,يخسر,,,
,,,,,الخاسر,,,
,,,,,الخاسرين,,,
,,,,,يخسر,,,
,,,,,خسارة,,,
,,,,,خسارة,,,
,,,,,خسائر,,,
,,,,,ضائع,,,
,,,,,عالي,,,
,,,,,بصوت أعلى,,,
,,,,,رديء,,,
,,,,,بلا حب,,,
,,,,,متيم,,,
,,,,,تصنيف منخفض,,,
,,,,,متواضع,,,
,,,,,مثير للسخرية,,,
,,,,,بشكل مثير للسخرية,,,
,,,,,حدادي,,,
,,,,,فاتر,,,
,,,,,هدوء مؤقت,,,
,,,,,محفر,,,
,,,,,مجنون,,,
,,,,,الجنون,,,
,,,,,ترنح,,,
,,,,,إغراء، شرك، طعم,,,
,,,,,متوهج,,,
,,,,,ثابر,,,
,,,,,يترصد,,,
,,,,,يكذب,,,
,,,,,مروع,,,
,,,,,مجنون,,,
,,,,,مادن,,,
,,,,,مجن,,,
,,,,,بجنون,,,
,,,,,أكثر جنونا,,,
,,,,,بجنون,,,
,,,,,مجنون,,,
,,,,,جنون,,,
,,,,,غير منسجم,,,
,,,,,سوء التكيف,,,
,,,,,مرض,,,
,,,,,توعك,,,
,,,,,ساخط,,,
,,,,,ساخط,,,
,,,,,ملعون,,,
,,,,,الحقد,,,
,,,,,حاقد,,,
,,,,,بشكل خبيث,,,
,,,,,حقد,,,
,,,,,ضارة,,,
,,,,,بشكل ضار,,,
,,,,,الخبث,,,
,,,,,خبيث,,,
,,,,,خبيثة,,,
,,,,,كريه الرائحة,,,
,,,,,سوء المعاملة,,,
,,,,,فسد,,,
,,,,,مشوه,,,
,,,,,يفسد,,,
,,,,,تشويه,,,
,,,,,هوس,,,
,,,,,معتوه,,,
,,,,,مهووس,,,
,,,,,مهووس,,,
,,,,,يتلَاعب ب,,,
,,,,,تلاعب,,,
,,,,,التلاعب,,,
,,,,,المتلاعبين,,,
,,,,,مار,,,
,,,,,هامش,,,
,,,,,هامشي,,,
,,,,,استشهاد,,,
,,,,,طلب الاستشهاد,,,
,,,,,مهروس,,,
,,,,,مذبحة,,,
,,,,,مذابح,,,
,,,,,مادة,,,
,,,,,مزعج,,,
,,,,,بشكل مخيف,,,
,,,,,فظاظة,,,
,,,,,هزيلة,,,
,,,,,لا معنى له,,,
,,,,,خسة,,,
,,,,,تافه,,,
,,,,,التدخل,,,
,,,,,فضولي,,,
,,,,,المتوسط,,,
,,,,,توسط,,,
,,,,,كآبة,,,
,,,,,مليودرامي,,,
,,,,,بشكل ميلودرامي,,,
,,,,,الانهيار,,,
,,,,,تهديد,,,
,,,,,تهديد,,,
,,,,,بتهديد,,,
,,,,,كاذب,,,
,,,,,كذب,,,
,,,,,وضيع,,,
,,,,,بدون رحمة,,,
,,,,,بلا رحمة,,,
,,,,,فوضى,,,
,,,,,عابث,,,
,,,,,عبث,,,
,,,,,العبث,,,
,,,,,فوضوي,,,
,,,,,قزمة,,,
,,,,,ميف,,,
,,,,,التشدد,,,
,,,,,الطائش,,,
,,,,,بلا عقل,,,
,,,,,سراب,,,
,,,,,مستنقع,,,
,,,,,محاذاة,,,
,,,,,غير محاذية,,,
,,,,,اختلالات,,,
,,,,,يسيء الفهم,,,
,,,,,يسيء التصرف,,,
,,,,,سوء التصرف,,,
,,,,,سوء النية,,,
,,,,,يسيئون التصرف,,,
,,,,,سوء سلوك,,,
,,,,,أخطأت في الحساب,,,
,,,,,سوء تقدير,,,
,,,,,متنوع,,,
,,,,,الأذى,,,
,,,,,مزعج,,,
,,,,,بشكل مؤذ,,,
,,,,,فكرة خاطئة,,,
,,,,,المفاهيم الخاطئة,,,
,,,,,الأوغاد,,,
,,,,,الأوغاد,,,
,,,,,توجيه خاطئ,,,
,,,,,البخيل,,,
,,,,,بائس,,,
,,,,,البؤس,,,
,,,,,بائسة,,,
,,,,,البؤس,,,
,,,,,بخيل,,,
,,,,,بؤس,,,
,,,,,غير مناسب,,,
,,,,,مصيبة,,,
,,,,,متشكك,,,
,,,,,شكوك,,,
,,,,,الضلال,,,
,,,,,مضلل,,,
,,,,,مضللة,,,
,,,,,تخريب,,,
,,,,,حادث مؤسف,,,
,,,,,معلومات مضللة,,,
,,,,,مضللة,,,
,,,,,إساءة تفسير,,,
,,,,,أخطأ في الحكم,,,
,,,,,سوء التقدير,,,
,,,,,تضليل,,,
,,,,,مضللة,,,
,,,,,بشكل مضلل,,,
,,,,,يكره,,,
,,,,,سوء الإدارة,,,
,,,,,نطق خاطئ,,,
,,,,,نطقها بشكل خاطئ,,,
,,,,,يخطئ,,,
,,,,,أخطأت في القراءة,,,
,,,,,قراءة خاطئة,,,
,,,,,تحريف,,,
,,,,,تحريف,,,
,,,,,يفتقد,,,
,,,,,مٌفتَقد,,,
,,,,,يخطئ,,,
,,,,,تحريف,,,
,,,,,شَبُّورَة,,,
,,,,,خطأ,,,
,,,,,مخطئ,,,
,,,,,بالخطأ,,,
,,,,,أخطاء,,,
,,,,,مخطئ,,,
,,,,,عشيقة,,,
,,,,,عدم الثقة,,,
,,,,,غير موثوق,,,
,,,,,بارتياب,,,
,,,,,الضباب,,,
,,,,,سوء فهم,,,
,,,,,سوء فهم,,,
,,,,,سوء الفهم,,,
,,,,,يساء فهمه,,,
,,,,,سوء استخدام,,,
,,,,,أنين,,,
,,,,,رجل عصابة,,,
,,,,,وهمية,,,
,,,,,سخر,,,
,,,,,استهزاء,,,
,,,,,سخرية,,,
,,,,,ساخرا,,,
,,,,,بسخرية,,,
,,,,,يسخر,,,
,,,,,تحرش,,,
,,,,,التحرش الجنسي,,,
,,,,,رتيب,,,
,,,,,روتيني,,,
,,,,,وحش,,,
,,,,,وحوش,,,
,,,,,وحشية,,,
,,,,,وحشية,,,
,,,,,بوحشية,,,
,,,,,متقلب المزاج,,,
,,,,,موضع نقاش,,,
,,,,,كآبة,,,
,,,,,مهووس,,,
,,,,,بشكل مرضي,,,
,,,,,لاذع,,,
,,,,,لاذع,,,
,,,,,المحتضر,,,
,,,,,المغفل,,,
,,,,,مغفل,,,
,,,,,البلداء,,,
,,,,,إماتة,,,
,,,,,مذعور,,,
,,,,,تجرح شخص في المشاعر,,,
,,,,,مهينة,,,
,,,,,بلا حراك,,,
,,,,,متنوع,,,
,,,,,نحزن,,,
,,,,,مشيع,,,
,,,,,حزين,,,
,,,,,بحزن,,,
,,,,,التشويش,,,
,,,,,موحلة,,,
,,,,,مشين,,,
,,,,,التشهير,,,
,,,,,بغلي,,,
,,,,,متعدد الاستقطاب,,,
,,,,,معتاد,,,
,,,,,قتل,,,
,,,,,قاتل,,,
,,,,,قاتل,,,
,,,,,بطريقة قاتلة,,,
,,,,,غامض,,,
,,,,,استعراض العضلات,,,
,,,,,طري,,,
,,,,,عفن,,,
,,,,,غامض,,,
,,,,,في ظروف غامضة,,,
,,,,,أُحجِيَّة,,,
,,,,,حير,,,
,,,,,خرافة,,,
,,,,,تذمر,,,
,,,,,المزعجة,,,
,,,,,ساذج,,,
,,,,,بسذاجة,,,
,,,,,أضيق,,,
,,,,,بخبث,,,
,,,,,وقاحة,,,
,,,,,مقرف,,,
,,,,,شقي,,,
,,,,,أصاب بالغثيان,,,
,,,,,يغثيان,,,
,,,,,مقرف,,,
,,,,,بشكل مقزز,,,
,,,,,ساذج,,,
,,,,,غامض,,,
,,,,,غامضة,,,
,,,,,لا داعي,,,
,,,,,بلا داع,,,
,,,,,محتاج,,,
,,,,,شائنة,,,
,,,,,بشكل شنيع,,,
,,,,,نفي,,,
,,,,,النفي,,,
,,,,,سلبي,,,
,,,,,السلبيات,,,
,,,,,سلبية,,,
,,,,,أهمل,,,
,,,,,مهمل,,,
,,,,,الإهمال,,,
,,,,,متهاون,,,
,,,,,عدو,,,
,,,,,المحسوبيات,,,
,,,,,متوتر,,,
,,,,,بعصبية,,,
,,,,,العصبية,,,
,,,,,نبات القراص,,,
,,,,,مزعج,,,
,,,,,عصبي,,,
,,,,,عصبيا,,,
,,,,,أزعج,,,
,,,,,زغب,,,
,,,,,كابوس,,,
,,,,,رهيب,,,
,,,,,بشكل كابوسي,,,
,,,,,تصيد الأخطاء,,,
,,,,,ضوضاء,,,
,,,,,ضوضاء,,,
,,,,,أكثر ضجيجا,,,
,,,,,مزعج,,,
,,,,,عدم الثقة,,,
,,,,,غير موجود,,,
,,,,,غير مستجيب,,,
,,,,,كلام فارغ,,,
,,,,,فضولي,,,
,,,,,سمعة سيئة,,,
,,,,,سيئة السمعة,,,
,,,,,بشكل ملاحظ,,,
,,,,,ضارة,,,
,,,,,إزعاج,,,
,,,,,مُخَدَّر,,,
,,,,,السمنة,,,
,,,,,هدف,,,
,,,,,اعتراض,,,
,,,,,مرفوض,,,
,,,,,اعتراضات,,,
,,,,,منحرف,,,
,,,,,طمس,,,
,,,,,طمس,,,
,,,,,غافل,,,
,,,,,بغيض,,,
,,,,,بغيض,,,
,,,,,فاحشة,,,
,,,,,بفاحشة,,,
,,,,,الفحش,,,
,,,,,غامض,,,
,,,,,مشوشة,,,
,,,,,يحجب,,,
,,,,,غموض,,,
,,,,,استحواذ,,,
,,,,,الوسواس,,,
,,,,,بقلق شديد,,,
,,,,,الهوس,,,
,,,,,عفا عليها الزمن,,,
,,,,,عقبة,,,
,,,,,عنيد,,,
,,,,,بعناد,,,
,,,,,عرقلة,,,
,,,,,إعاقة,,,
,,,,,يعوق,,,
,,,,,اقتحامية,,,
,,,,,منفرج الزاوية,,,
,,,,,انسداد,,,
,,,,,مسدود,,,
,,,,,حبس,,,
,,,,,انسداد,,,
,,,,,غريب,,,
,,,,,أكثر غرابة,,,
,,,,,الأغرب,,,
,,,,,الشذوذ,,,
,,,,,غرائب,,,
,,,,,بشكل غريب,,,
,,,,,رائحة,,,
,,,,,جريمة,,,
,,,,,الإساءة,,,
,,,,,الجاني,,,
,,,,,المخالف,,,
,,,,,الجرائم,,,
,,,,,جارح,,,
,,,,,هجوميا,,,
,,,,,الهجوم,,,
,,,,,فضولي,,,
,,,,,مشؤومة,,,
,,,,,بشكل مشؤوم,,,
,,,,,الإغفال,,,
,,,,,حذف,,,
,,,,,من جانب واحد,,,
,,,,,مرهقة,,,
,,,,,مرهقة,,,
,,,,,هجمة,,,
,,,,,عنيد,,,
,,,,,الخصم,,,
,,,,,انتهازية,,,
,,,,,يعارض,,,
,,,,,معارضة,,,
,,,,,المعارضات,,,
,,,,,قمع,,,
,,,,,القمع,,,
,,,,,القمعية,,,
,,,,,بشكل قمعي,,,
,,,,,القمع,,,
,,,,,الظالمين,,,
,,,,,محنة,,,
,,,,,يتيم,,,
,,,,,نبذ,,,
,,,,,التفشي,,,
,,,,,فورة,,,
,,,,,نوبات الغضب,,,
,,,,,منبوذ,,,
,,,,,صرخة,,,
,,,,,الخارج عن القانون,,,
,,,,,قديم الطراز,,,
,,,,,الغضب,,,
,,,,,غاضب,,,
,,,,,الفاحشة,,,
,,,,,بشكل شنيع,,,
,,,,,الفاحشة,,,
,,,,,الاعتداءات,,,
,,,,,دخيل,,,
,,,,,المبالغة في التصرف,,,
,,,,,الإفراط في الرهبة,,,
,,,,,أكثر من متوازن,,,
,,,,,مبالغ فيه,,,
,,,,,مبالغ فيها,,,
,,,,,الإفراط في التقييم,,,
,,,,,مثل بصورة مبالغ فيها,,,
,,,,,مبالغ فيه,,,
,,,,,رهبة,,,
,,,,,رجح,,,
,,,,,متوازن,,,
,,,,,متعجرف,,,
,,,,,بشكل متعجرف,,,
,,,,,مبالغ فيه,,,
,,,,,تطرف,,,
,,,,,مبالغ فيه,,,
,,,,,تأخرت,,,
,,,,,المبالغة في التأكيد,,,
,,,,,ارتفاع درجة الحرارة,,,
,,,,,مبالغة,,,
,,,,,مثقلة,,,
,,,,,تطل,,,
,,,,,زائدة,,,
,,,,,مبالغ فيها,,,
,,,,,مبالغة,,,
,,,,,قهر,,,
,,,,,مبالغ فيها,,,
,,,,,مبالغ فيه,,,
,,,,,تجاوز,,,
,,,,,تجاوز,,,
,,,,,يطغى,,,
,,,,,الرقابة,,,
,,,,,السهو,,,
,,,,,التبسيط المفرط,,,
,,,,,تبسيط مفرط,,,
,,,,,المبالغة في التبسيط,,,
,,,,,كبيرة الحجم,,,
,,,,,المبالغة,,,
,,,,,مبالغ فيه,,,
,,,,,مبالغة,,,
,,,,,المبالغة,,,
,,,,,يبالغ,,,
,,,,,مرهق,,,
,,,,,الإطاحة,,,
,,,,,انقلابات,,,
,,,,,انقلاب,,,
,,,,,زيادة الوزن,,,
,,,,,تطغى,,,
,,,,,مُثقل,,,
,,,,,غامر,,,
,,,,,بأغلبية ساحقة,,,
,,,,,يطغى,,,
,,,,,مفرط الحماس,,,
,,,,,بحماسة مفرطة,,,
,,,,,مفرط,,,
,,,,,ألم,,,
,,,,,مؤلم,,,
,,,,,مؤلم,,,
,,,,,بشكل مؤلم,,,
,,,,,آلام,,,
,,,,,باهت,,,
,,,,,يتضاءل,,,
,,,,,تافهة,,,
,,,,,مِقلاة,,,
,,,,,الهرج والمرج,,,
,,,,,قواد,,,
,,,,,القوادة,,,
,,,,,ذعر,,,
,,,,,ذعر,,,
,,,,,مذعور,,,
,,,,,الذعر,,,
,,,,,مذعور,,,
,,,,,متناقض,,,
,,,,,ومن المفارقة,,,
,,,,,شل,,,
,,,,,مشلول,,,
,,,,,جنون العظمة,,,
,,,,,المذعور,,,
,,,,,طفيلي,,,
,,,,,منبوذ,,,
,,,,,محاكاة ساخرة,,,
,,,,,التحيز,,,
,,,,,حزبي,,,
,,,,,الثوار,,,
,,,,,عتيق,,,
,,,,,سلبي,,,
,,,,,السلبية,,,
,,,,,مثير للشفقة,,,
,,,,,بشكل مثير للشفقة,,,
,,,,,يناصر,,,
,,,,,ندرة,,,
,,,,,فقير,,,
,,,,,الفقراء,,,
,,,,,تسديد,,,
,,,,,غَيْرُ مَأْلُوف,,,
,,,,,بشكل غريب,,,
,,,,,متحذلق,,,
,,,,,مقشر,,,
,,,,,غيظ,,,
,,,,,منزعج,,,
,,,,,نكد,,,
,,,,,بشكل غاضب,,,
,,,,,يعاقب,,,
,,,,,جزاء,,,
,,,,,غادر,,,
,,,,,الغدر,,,
,,,,,روتينية,,,
,,,,,خطر,,,
,,,,,محفوفة بالمخاطر,,,
,,,,,بشكل خطير,,,
,,,,,يهلك,,,
,,,,,خبيث,,,
,,,,,حير,,,
,,,,,متحير,,,
,,,,,محير,,,
,,,,,الحيرة,,,
,,,,,اضطهاد,,,
,,,,,الاضطهاد,,,
,,,,,عنيد,,,
,,,,,بإصرار,,,
,,,,,عناد,,,
,,,,,اضطراب,,,
,,,,,مضطرب,,,
,,,,,منتشرة,,,
,,,,,منحرف,,,
,,,,,بشكل معاكس,,,
,,,,,الانحراف,,,
,,,,,الانحراف,,,
,,,,,منحرف,,,
,,,,,منحرفة,,,
,,,,,منحرفون,,,
,,,,,تشاؤم,,,
,,,,,متشائم,,,
,,,,,بتشاؤم,,,
,,,,,آفة,,,
,,,,,مبيد,,,
,,,,,متحجر,,,
,,,,,تحجر,,,
,,,,,تافه,,,
,,,,,رهاب,,,
,,,,,رهابي,,,
,,,,,زائف,,,
,,,,,اعتصام,,,
,,,,,اعتصام,,,
,,,,,اعتصام,,,
,,,,,أوتاد,,,
,,,,,من الصعب إرضاءه,,,
,,,,,خنزير,,,
,,,,,الخنازير,,,
,,,,,نهب,,,
,,,,,حبوب منع الحمل,,,
,,,,,بثرة,,,
,,,,,قرصة,,,
,,,,,أثار,,,
,,,,,مثير للشفقة,,,
,,,,,يرثى لها,,,
,,,,,بشكل مؤسف,,,
,,,,,بلا رحمة,,,
,,,,,بلا رحمة,,,
,,,,,أجر زهيد,,,
,,,,,شفقة,,,
,,,,,انتحل,,,
,,,,,وباء,,,
,,,,,بلاستيك,,,
,,,,,ألعوبة,,,
,,,,,نداء,,,
,,,,,رجاء,,,
,,,,,عامي,,,
,,,,,مأزق,,,
,,,,,حبكة,,,
,,,,,المتآمرون,,,
,,,,,حيلة,,,
,,,,,نهب,,,
,,,,,نهب,,,
,,,,,بلا هدف,,,
,,,,,بلا جدوى,,,
,,,,,سم,,,
,,,,,سامة,,,
,,,,,سامة,,,
,,,,,متواني,,,
,,,,,الاستقطاب,,,
,,,,,جدل,,,
,,,,,تلوث,,,
,,,,,الملوث,,,
